scale,location,offset,func,semantics,evidence,known
每周,380B 球员对象,+0x2D,0x12dcfb0/0x15347c0,跨赛季递增的周/赛季计数（365 天日期累计）,⑬⑯,此前未知
每周,打包槽 [base+pid*4],bit0~8,0x12dcfb0,9bit 比值（训练因子）,⑫⑭⑮,此前未知
每周,打包槽 [base+pid*4],bit9~15,0x12dcfb0,7bit 分量,⑫⑭⑮,此前未知
每周,打包槽 [base+pid*4],bit24~27,0x12dcfb0,模式位（默认15，备选2）,⑳,此前未知
每周,82×192B 周记录数组 [base+0x72b24],rec+9/+0x62,0x1537a80/0x15347c0,每球员周快照字段,⑥,此前未知
训练,焦点对象 [global+0x16ECBE0],+0x00~0x07,0xBBEB10/0xBBEC80,8 分类训练焦点桶,⑪,此前未知
训练,焦点对象 [global+0x16ECBE0],+0x0A,0xBBEB10,剩余训练点（上限 0x15=21，每周重置）,⑪,此前未知
训练,成长系数表 0x1453766,槽首字节=属性偏移,0x1533230,每属性 26 项成长系数（+1500→-1800）,⑯㉒,此前未知
赛季,380B 球员对象,+0x13C&0xF,0x12e3820,状态位：3=位图路径、5/6=跳过,⑳,此前未知
赛季,每球员槽 [base+pid*8+0x186A4],位图,0x15358e0/0x12de960,属性位图（0x22222222 标记）,⑧⑰,此前未知
赛季,队块,+0x648,pesfile.py,静态俱乐部预算（4 样本同）,§7.9.1,社区已知
结算,380B 位打包区,"clamp(旧+Δ,下限,99)",0x12de6a0/0x1533230,成长公式：Δ=(槽9bit/100)×开发×衰减×0.5+随机,⑮,此前未知
注册,5628B 注册表 [base+0x1049b3c],+0x08,0xB63B00,激活标志（0x0421413F/0xFFFFFFFF）,㉓,此前未知
注册,5628B 注册表,+0x18,-,注册/合同年份（2020/2021）,㉓,此前未知
注册,5628B 注册表,+0x2C/+0x3C,-,小计数（状态/档位候选）,㉓,此前未知
加密,encHeader,[0:256],0x1413A20 系,四段 SHA-512 摘要（desc/logo/data/serial）,§8,此前未知
加密,encHeader,[256:320],-,salt=header_key 源,§8,此前未知
外壳,FileHeader,+76 serial,-,serial=Windows SID（绑定创建账户）,§5,此前未知
